year,pref,計,針葉樹_計,針葉樹_あかまつ・くろまつ,針葉樹_すぎ,針葉樹_ひのき,針葉樹_もみ・つが,針葉樹_からまつ,針葉樹_えぞまつ・とどまつ,針葉樹_その他,広葉樹_計,広葉樹_なら,広葉樹_ぶな,広葉樹_その他
1963,鹿児島県,1530.0,938.0,364.0,444.0,210.0,14.0,,0.0,6.0,592.0,1.0,2.0,589.0
1964,三重県,1065.0,984.0,181.0,493.0,260.0,32.0,,1.0,17.0,81.0,2.0,3.0,76.0
1964,京都府,734.0,631.0,249.0,248.0,121.0,11.0,,1.0,1.0,103.0,1.0,11.0,91.0
1964,佐賀県,321.0,256.0,73.0,114.0,69.0,0.0,,,0.0,65.0,0.0,1.0,64.0
1964,全国,50678.0,35605.0,8707.0,13141.0,5203.0,1548.0,,5817.0,1189.0,15073.0,969.0,2406.0,11698.0
1964,兵庫県,878.0,799.0,338.0,311.0,130.0,20.0,,,0.0,79.0,1.0,18.0,60.0
1964,北海道,10347.0,5279.0,6.0,33.0,,2.0,,5003.0,235.0,5068.0,559.0,318.0,4191.0
1964,千葉県,339.0,329.0,159.0,143.0,22.0,3.0,,0.0,2.0,10.0,0.0,,10.0
1964,和歌山県,788.0,695.0,121.0,328.0,197.0,46.0,,1.0,2.0,93.0,0.0,4.0,89.0
1964,埼玉県,342.0,253.0,23.0,113.0,55.0,55.0,,2.0,5.0,89.0,4.0,14.0,71.0
1964,大分県,1107.0,905.0,247.0,508.0,124.0,25.0,,0.0,1.0,202.0,3.0,4.0,195.0
1964,大阪府,81.0,81.0,40.0,25.0,15.0,1.0,,,0.0,0.0,0.0,,0.0
1964,奈良県,1110.0,1003.0,120.0,500.0,308.0,73.0,,0.0,2.0,107.0,8.0,18.0,81.0
1964,宮城県,761.0,536.0,187.0,291.0,39.0,9.0,,4.0,6.0,225.0,9.0,51.0,165.0
1964,宮崎県,1904.0,1174.0,354.0,536.0,151.0,128.0,,1.0,4.0,730.0,6.0,7.0,717.0
1964,富山県,261.0,171.0,33.0,122.0,3.0,1.0,,8.0,4.0,90.0,4.0,49.0,37.0
1964,山口県,912.0,650.0,428.0,160.0,61.0,1.0,,,0.0,262.0,7.0,3.0,252.0
1964,山形県,656.0,392.0,63.0,307.0,6.0,,,11.0,5.0,264.0,10.0,175.0,79.0
1964,山梨県,662.0,460.0,103.0,57.0,54.0,178.0,,48.0,20.0,202.0,11.0,15.0,176.0
1964,岐阜県,1729.0,964.0,214.0,236.0,319.0,96.0,,8.0,91.0,765.0,43.0,273.0,449.0
1964,岡山県,726.0,613.0,323.0,139.0,149.0,1.0,,1.0,0.0,113.0,8.0,15.0,90.0
1964,岩手県,1942.0,1021.0,507.0,387.0,41.0,1.0,,70.0,15.0,921.0,38.0,265.0,618.0
1964,島根県,1007.0,583.0,373.0,156.0,51.0,2.0,,,1.0,424.0,12.0,14.0,398.0
1964,広島県,1382.0,1100.0,738.0,215.0,136.0,9.0,,1.0,1.0,282.0,11.0,8.0,263.0
1964,徳島県,748.0,570.0,97.0,353.0,78.0,39.0,,,3.0,178.0,2.0,13.0,163.0
1964,愛媛県,1035.0,844.0,315.0,295.0,202.0,31.0,,0.0,1.0,191.0,7.0,14.0,170.0
1964,愛知県,785.0,747.0,138.0,312.0,256.0,21.0,,13.0,7.0,38.0,4.0,2.0,32.0
1964,新潟県,739.0,609.0,155.0,442.0,3.0,1.0,,4.0,4.0,130.0,11.0,57.0,62.0
1964,東京都,152.0,135.0,9.0,80.0,35.0,10.0,,1.0,0.0,17.0,0.0,2.0,15.0
1964,栃木県,788.0,650.0,100.0,318.0,166.0,37.0,,13.0,16.0,138.0,16.0,36.0,86.0
1964,沖縄県,,,,,,,,,,,,,
1964,滋賀県,360.0,308.0,144.0,110.0,51.0,2.0,,,1.0,52.0,0.0,17.0,35.0
1964,熊本県,1347.0,1031.0,219.0,509.0,246.0,50.0,,1.0,6.0,316.0,9.0,12.0,295.0
1964,石川県,456.0,428.0,125.0,239.0,15.0,7.0,,2.0,40.0,28.0,0.0,9.0,19.0
1964,神奈川県,115.0,95.0,26.0,44.0,21.0,2.0,,1.0,1.0,20.0,0.0,1.0,19.0
1964,福井県,451.0,304.0,88.0,200.0,15.0,0.0,,0.0,1.0,147.0,8.0,51.0,88.0
1964,福岡県,741.0,648.0,168.0,333.0,142.0,3.0,,1.0,1.0,93.0,1.0,2.0,90.0
1964,福島県,1507.0,975.0,329.0,431.0,130.0,31.0,,31.0,23.0,532.0,40.0,216.0,276.0
1964,秋田県,1959.0,1461.0,93.0,1313.0,6.0,,,18.0,31.0,498.0,39.0,305.0,154.0
1964,群馬県,778.0,519.0,53.0,252.0,79.0,25.0,,94.0,16.0,259.0,22.0,61.0,176.0
1964,茨城県,605.0,529.0,163.0,241.0,122.0,1.0,,2.0,0.0,76.0,13.0,17.0,46.0
